[RUN #0 5 20]
276 -279 -171 835 158
934 -367 390 -491 -158
-44 -637 615 82 119
-793 -748 -169 -239 -206
-123 308 626 53 138
45 -143 -896 -972 -995
-110 -183 -62 833 721
206 -451 -523 654 423
451 595 894 -124 585
-106 -717 628 -196 633
-464 872 408 -111 381
-113 -947 919 740 400
958 -689 475 242 -394
86 -722 -280 -820 603
-124 -993 327 -432 930
-27 278 177 67 -168
636 -427 49 -650 -262
-853 -208 66 867 -306
183 -803 187 146 966
-222 97 985 -621 -41
[RUN #1 5 30]
-923 364 381 -822 -591
-89 -20 -567 -238 75
-889 -338 646 -651 -540
-975 -777 236 -89 30
-854 -109 -341 -801 523
575 840 717 -472 36
255 -294 -925 -628 -995
-649 825 -394 -960 992
-48 -960 365 960 -171
560 -423 -962 156 804
249 -887 -348 -610 -822
167 -38 -993 -406 -722
-72 -361 591 149 -224
-176 559 -757 165 76
-126 -288 278 -399 -816
-306 -791 -120 -192 516
329 892 -842 -514 105
-469 -321 402 313 580
-33 -952 717 720 -254
-308 395 -891 -257 -942
549 254 -239 -75 502
400 176 6 -936 -309
-877 -658 -256 -130 881
497 511 -246 960 291
509 -816 214 -635 522
-174 -797 -212 -682 953
-705 167 450 -69 -261
889 -992 952 433 761
-595 -350 577 -858 314
-774 -987 585 -40 -590
[RUN #2 5 100]
373 273 206 116 757
-662 901 -318 343 188
659 -998 454 928 -326
854 -377 47 847 -916
-514 -18 539 -852 850
238 -653 -665 21 722
-610 -707 -959 899 -70
135 -745 -382 -836 -980
-400 -648 277 763 383
-334 784 -836 -171 -442
939 772 -836 522 -755
-26 -886 -514 -981 -315
-284 -455 -352 -78 50
-145 732 -632 -637 -450
944 -477 -670 600 67
825 -366 49 127 -573
-93 285 -813 -955 130
971 625 -703 395 457
-876 -668 468 -705 83
976 409 -256 988 18
-447 -681 668 -377 -641
790 -649 757 -505 -498
629 -297 689 -414 -867
228 886 194 682 1
625 108 -546 -527 -260
984 959 288 -661 428
-394 133 -31 -783 789
918 -380 -873 -333 -839
-841 -206 -625 -284 -18
787 -246 607 389 551
129 -609 149 832 -586
468 -906 -174 -47 -563
112 -481 771 93 490
-617 -839 977 -292 632
846 -714 -35 -318 757
167 283 939 -77 127
321 250 169 -876 909
619 -112 787 662 -969
202 -389 -358 -420 606
-956 -453 -893 -371 554
239 -628 -880 693 -842
-291 -460 759 -184 198
747 525 103 378 400
-51 215 -287 635 861
645 403 764 809 405
-391 964 -467 -83 145
-937 -779 -370 -974 549
795 -689 346 257 334
-597 861 343 71 222
304 950 864 -340 191
-949 952 234 -767 -639
-144 -154 965 533 399
-132 971 57 227 774
653 317 779 388 -856
-994 -763 -360 -376 656
65 978 -995 -940 482
505 923 -8 674 255
487 435 -418 -579 -306
-274 -922 558 178 761
-916 478 -886 -88 628
-315 -76 560 -633 -551
-982 996 763 -344 -929
-499 -424 606 -919 -862
131 -330 -705 848 -399
198 835 746 -770 -371
136 995 -958 -435 -230
581 -617 -608 -652 -823
486 -727 -167 -78 -678
881 477 -968 -172 208
-227 638 46 -560 569
27 687 783 925 -720
-104 608 966 389 -561
407 -423 -98 2 -771
255 793 -475 -207 -389
-561 -896 537 -886 411
-351 -905 250 21 -230
-399 -908 -571 45 -819
-12 -709 -852 -600 -773
-346 77 -925 56 559
-824 -318 -399 -813 702
-73 843 -725 517 343
270 -475 460 -920 -508
-289 -243 -606 112 -84
436 -275 -901 509 -928
-363 -733 -276 993 367
668 71 -362 817 744
-874 872 -103 -518 783
-184 619 -34 -792 -50
-334 386 -157 627 479
151 428 -676 515 666
-480 92 747 -479 -911
181 -360 50 611 753
621 542 183 256 -268
-95 -737 798 759 134
-96 -594 -681 -219 -705
-304 898 -178 766 -83
267 -213 151 -87 969
-368 -562 -544 -466 625
-371 -990 718 -311 -927
-92 880 848 -315 943
[RUN #3 5 200]
582 751 -382 895 265
-963 96 -725 173 898
-494 25 -713 -547 -602
959 -963 -406 -216 -287
350 -920 -406 383 -784
-426 847 -127 655 -346
429 257 -171 969 249
115 724 527 469 -779
-681 214 345 -837 -25
-563 -901 -672 -752 954
277 -443 -276 -240 -362
-657 -45 -363 -450 -182
-629 80 471 618 -660
-136 -362 497 -291 359
468 820 513 253 -836
785 443 -773 -90 -505
-842 -125 417 216 692
980 994 31 -729 398
801 -779 -451 -650 180
-678 -107 -278 263 947
144 128 -58 18 927
428 -251 -759 165 862
175 -437 165 -881 443
583 903 -310 393 -836
590 928 655 -686 -252
78 53 993 139 543
-783 839 391 51 597
-786 -158 -782 641 353
-451 -115 552 -616 347
61 -648 759 -214 95
709 -277 451 -15 -545
83 68 937 461 -563
-431 -368 239 672 442
820 709 -742 673 -609
-878 -862 -550 298 914
-592 -420 -906 -690 -240
-205 704 -373 -474 -340
-790 -276 677 189 -87
-558 -60 -257 331 520
974 -125 -173 346 87
-850 46 -179 -721 880
-647 679 962 -269 -960
19 780 -758 713 -977
421 744 -427 882 -370
719 430 -785 -633 -126
848 -680 -653 -63 -491
889 -206 308 -999 966
694 -606 6 721 698
742 591 -838 -878 492
37 450 239 -880 -578
-2 -418 -122 -404 -823
-330 -294 827 -315 487
972 -116 -189 -510 873
-7 -15 157 -925 912
917 601 727 454 -115
973 990 -929 394 -751
363 587 -645 460 -327
-394 901 -196 -884 -554
646 -591 206 191 -966
-128 -722 741 -274 -622
96 -316 -406 148 -885
-327 611 5 -728 -908
-651 692 -799 -973 -616
369 -788 267 153 835
-271 -544 108 210 229
782 -510 -772 -296 350
755 505 -835 609 -834
-986 -253 697 553 -88
302 620 431 -67 332
408 498 -133 -531 -535
294 732 -311 287 668
-558 532 -379 -76 809
424 -165 -687 438 326
516 175 -846 681 -89
230 -644 450 -390 -947
-533 632 652 -814 -242
469 574 -696 -938 -479
-779 250 553 962 -634
698 -767 980 340 -446
968 -296 -366 -281 504
-778 -426 515 -549 517
25 178 -77 396 -389
677 -212 -427 441 167
-502 716 943 903 -273
112 -338 864 661 -62
-413 789 531 463 524
-859 790 460 809 -346
756 -582 -644 20 -922
552 -353 600 -515 969
-706 231 -746 -634 888
274 -933 -772 290 865
-90 -835 1 -95 -37
-131 646 501 455 222
-753 -458 795 421 36
973 -370 -305 -634 915
-587 -477 867 -404 -298
-882 -694 208 962 811
810 -26 -90 -640 563
-342 -446 -824 841 -462
954 -917 -182 953 -445
670 -499 -250 -247 -511
-340 -938 -17 895 525
176 -781 803 504 -273
-98 53 142 345 -425
353 -755 -987 -494 -486
-13 654 -304 -717 -594
445 -251 39 799 234
-745 -858 126 -278 952
642 411 -936 -406 441
-939 -361 935 992 775
492 -152 414 700 -929
256 129 806 443 299
575 502 -128 -535 23
-217 997 -899 133 -829
153 -455 -618 393 -932
-135 -913 75 -489 917
15 852 -524 -82 -587
200 -668 -651 -629 -102
-8 -672 -588 -649 659
344 -833 928 119 223
502 -761 -583 -424 -717
674 -752 -21 -841 939
36 -436 -222 -801 732
973 -825 -42 -887 -648
